2018-01-23 00:52:27 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-01-23 00:52:27 status unpacked libefivar0:amd64 0.23-2
2018-01-23 00:52:27 status half-configured libefivar0:amd64 0.23-2
2018-01-23 00:52:27 status installed libefivar0:amd64 0.23-2
2018-01-23 00:52:27 configure efibootmgr:amd64 0.12-4 <none>
2018-01-23 00:52:27 status unpacked efibootmgr:amd64 0.12-4
2018-01-23 00:52:27 status half-configured efibootmgr:amd64 0.12-4
2018-01-23 00:52:27 status installed efibootmgr:amd64 0.12-4
2018-01-23 00:52:27 configure grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.15 <none>
2018-01-23 00:52:27 status unpacked grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 status half-configured grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 status installed grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 configure grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.15 <none>
2018-01-23 00:52:27 status unpacked grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 status unpacked grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 status unpacked grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 status half-configured grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 status installed grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 configure grub-efi-amd64-signed:amd64 1.66.15+2.02~beta2-36ubuntu3.15 <none>
2018-01-23 00:52:27 status unpacked grub-efi-amd64-signed:amd64 1.66.15+2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 status half-configured grub-efi-amd64-signed:amd64 1.66.15+2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 status installed grub-efi-amd64-signed:amd64 1.66.15+2.02~beta2-36ubuntu3.15
2018-01-23 00:52:27 configure mokutil:amd64 0.3.0-0ubuntu3 <none>
2018-01-23 00:52:27 status unpacked mokutil:amd64 0.3.0-0ubuntu3
